country	isocode	year	smfn	iwmfn	pwmfn	lnsmfn	l_lnsmfn	dlnsmfn	lniwmfn	l_lniwmfn	dlniwmfn	lnpwmfn	l_lnpwmfn	dlnpwmfn	lngdppc	wlrca	wlxm	lsitc3	wlrcac	wlxmc	lsitc3c	tradeshare	fsharec	f_rca	f_xm	f_sitc	growth	dunemp	dxr	imf	polity	govcons	cu	eu	checks2a	checks3	polcon3	polcon5	xicrca
canada	CAN	1988	9.08	6.86	9.19	2.20607	NA	NA	1.92571	NA	NA	2.21812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.6804	NA	NA	NA	NA	NA	NA	NA
canada	CAN	1996	9.23	5.72	14.95	2.22246	2.20607	0.0163848	1.74397	1.92571	-0.181739	2.70471	2.21812	0.486595	9.85897	0.0133	0.0811	0.542	-0.65077	-0.483317	-0.159593	75.7035	53.0593	-34.5294	-25.6444	-8.4679	0.253614	1.9	-0.182189	0	10	22.6804	0	0	2	4	0.450108	0.858964	0.493043
switzerland	CHE	1988	4.36	4.25	3.66	1.47247	NA	NA	1.44692	NA	NA	1.29746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.9261	NA	NA	NA	NA	NA	NA	NA
switzerland	CHE	1996	3.22	4.03	3.28	1.16938	1.47247	-0.303091	1.39377	1.44692	-0.0531526	1.18784	1.29746	-0.10962	10.7354	0.9676	0.8053	0.8429	0.30353	0.240883	0.141307	70.6991	48.0548	14.5861	11.5756	6.79046	0.142071	4	0.0725791	0	10	13.9261	0	0	5	6	0.625494	0.88194	1.55199
chile	CHL	1998	10.9774	10.9462	10.986	2.39583	2.39583	0	2.39299	2.39205	0.0009427	2.39662	2.39668	-5.63e-05	8.09639	1	1	1	0.33593	0.435583	0.298407	0	-22.6443	-7.60689	-9.86346	-6.7572	0.478619	1.05	0.242554	0	8	9.7547	0	0	4	4	0.440905	0.740182	1.33407
chile	CHL	1991	10.9774	10.9359	10.9866	2.39583	NA	NA	2.39205	NA	NA	2.39668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.7547	NA	NA	NA	NA	NA	NA	NA
colombia	COL	1991	6.95754	5.82826	8.63532	1.93983	NA	NA	1.76272	NA	NA	2.15586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.39286	NA	NA	NA	NA	NA	NA	NA
colombia	COL	1998	12.8027	11.5086	13.9293	2.54966	1.93983	0.60983	2.44309	1.76272	0.680376	2.634	2.15586	0.478135	7.65879	0.8899	0.4411	0.5193	0.22583	-0.123317	-0.182293	12.4038	-10.2405	-2.31262	1.26283	1.86678	0.345305	5.45	0.572178	0	8.5	9.39286	0	0	2	2	0.444744	0.444744	1.16121
czech republic	CZE	1993	9.81325	10.8322	10.557	2.28373	NA	NA	2.38252	NA	NA	2.35679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.916	NA	NA	NA	NA	NA	NA	NA
czech republic	CZE	1998	6.25937	5.71017	6.56488	1.83408	2.28373	-0.449654	1.74225	2.38252	-0.640275	1.88173	2.35679	-0.475052	8.56973	0.6231	0.3578	0.7177	-0.04097	-0.206617	0.0161067	80.8584	58.2141	-2.38503	-12.028	0.937635	0.118644	2.65	0.394642	2	10	22.916	0	0	4	5.57143	0.566203	0.761065	1.08776
ecuador	ECU	1998	12.6589	11.0804	12.2708	2.53836	2.30845	0.229907	2.40518	2.1485	0.256682	2.50722	2.27636	0.230864	7.29656	0.7764	0.6587	0.3516	0.11233	0.0942827	-0.349993	9.29353	-13.3508	-1.49969	-1.25875	4.67268	-0.601893	3.2	-0.0808546	3	9	8.60757	0	0	3	3.71429	0.0959456	0.685855	1.39997
ecuador	ECU	1993	10.0588	8.57197	9.74111	2.30845	NA	NA	2.1485	NA	NA	2.27636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.60757	NA	NA	NA	NA	NA	NA	NA
eu	EU	1988	7.43	5.99	7.32	2.00553	NA	NA	1.79009	NA	NA	1.99061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.7772	NA	NA	NA	NA	NA	NA	NA
eu	EU	1996	9.54	6.56	7.89	2.25549	2.00553	0.249968	1.88099	1.79009	0.0908992	2.0656	1.99061	0.0749857	9.98247	0.892	NA	0.763	0.22793	NA	0.0614067	0	-22.6443	-5.16131	NA	-1.39051	0.270748	1.51	0.0812463	0	9.91667	19.7772	1	1	NA	NA	NA	NA	1.39422
